   ;IDENT;NAME
1;1231;Третьей Пятилетки
2;3л1пр;3-я линия 1-ый проезд
3;4;4-я/й
4;40654;в/ч 40654
5;42243;в/ч 42243
6;42312;в/ч 42312
7;42842;в/ч 42842
8;43123;в/ч 43123
9;44622;в/ч 44622
10;49242;в/ч 49242
11;49247;в/ч 49247
12;49357;в/ч 49357
13;5;5-я/й
14;51378;в/ч 51378
15;51391;в/ч 51391
16;51522;в/ч 51522
17;53001;в/ч 53001
18;53033;в/ч 53033
19;53892;в/ч 53892
20;53933;в/ч 53933
21;53955;в/ч 53955
22;53964;в/ч 53964
23;55751;в/ч 55751
24;56016;в/ч 56016
25;59141;в/ч 59141
26;6;6-я/й
27;62260;в/ч 62260
28;69260;в/ч 69260
29;7;7-я/й
30;71113;в/ч 71113
31;78350;в/ч 78350
32;78451;в/ч 78451
33;8;8-я/й
34;81357;в/ч 81357
35;81367;в/ч 81367
36;81858;в/ч 81858
37;86687;в/ч 86687
38;87233;в/ч 87233
39;9;9-я/й
40;90281;в/ч 90281
41;90388;в/ч 90388
42;90450;в/ч 90450
43;91203;в/ч 91203
44;95041;в/ч 95041
45;95210;в/ч 95210
46;95928;в/ч 95928
47;97728;в/ч 97728
48;9Мая;9 Мая
49;9Янва;9 Января
50;АБайк;Академика Байкова
51;АБлок;Александра Блока
52;АДани;Архитектора Данини
53;АКонс;Академика Константинова
54;АЛаза;Адмирала Лазарева
55;АЛебе;Академика Лебедева
56;АМатр;Александра Матросова
57;АНевс;Александра Невского
58;АОвсе;Антонова-Овсеенко
59;АПавл;Академика Павлова
60;АТавп;Александра Товпеко
61;АТолс;Алексея Толстого
62;АУлья;Александра Ульянова
63;АФерм;Александровской Фермы
64;АШима;Академика Шиманского
65;Аброс;Абросимова
66;Аванг;Авангардная
67;Авиак;Авиаконструкторов
68;Авиац;Авиационная
69;Авров;Аврова
70;Аврор;Авроры
71;Автов;Автовская
72;Автог;Автогенная
73;Аграр;Аграрная
74;Адмир;Адмиралтейская/ий
75;АкадЧ;Академический
76;Аккур;Аккуратова
77;Алек1;Алексеевская 1-я
78;Алек2;Алексеевская 2-я
79;АлекК;Александровская/ий/ое
80;АлекС;Александрийское
81;Алекс;Алексеевская
82;Аллей;Аллейная
83;Алтай;Алтайская
84;Альпи;Альпийский
85;Аммер;Аммермана
86;Ангар;Ангарская
87;Англи;Английский/ая
88;АндрК;Андреевская/ое
89;Андре;Андреева
90;Аниси;Анисимова
91;Аннен;Аннинское
92;Антен;Антенное
93;АнтоК;Антоновская
94;Антон;Антоненко
95;Апрак;Апраксин
96;Апрел;Апрельская
97;Аптек;Аптекарский
98;Аркти;Арктическая/ий
99;АрсеК;Арсеньевский
100;Арсен;Арсенальная
101;Артил;Артиллерийская/ий
102;Асафь;Асафьева
103;Астра;Астраханская
104;Астро;Астрономическая
105;Атама;Атаманская
106;Афана;Афанасьевская
107;Афон;Афонская
108;Ахмат;Ахматовская
109;Аэрод;Аэродромная/ый
110;Б1Озе;Береговая 1-го Озера
111;Б2Озе;Береговая 2-го Озера
112;ББруе;Бонч-Бруевича
113;БВИР;База ВИР
114;БВаси;Братьев Васильевых
115;БГорк;Братьев Горкушенко
116;БГорс;Большая Горская
117;БДеся;Большая Десятинная
118;БЗеле;Большая Зеленина
119;БКазЧ;Большой Казачий
120;БКаме;Большая Каменка
121;БКоню;Большая Конюшенная
122;БКуна;Белы Куна
123;БКупа;Большая Купальная
124;БЛаге;Большая Лагерная
125;БЛите;Большой Литейный
126;БМени;Блан-Менильская
127;БМоне;Большая Монетная
128;БМорс;Большая Морская
129;БМоск;Большая Московская
130;БОзер;Большая Озерная
131;БОхти;Большеохтинский
132;БПодь;Большая Подьяческая
133;БПоро;Большая Пороховская
134;БПоса;Большая Посадская
135;БПушк;Большая Пушкарская
136;БРадч;Братьев Радченко
137;БРазн;Большая Разночинная
138;БСамп;Большой Сампсониевский
139;БСмол;Большой Смоленский
140;БХмел;Богдана Хмельницкого
141;БЯбло;Большая Яблоневка
142;Бабиг;Бабагонская/ое
143;Бабуш;Бабушкина
144;Бадае;Бадаева
145;Байка;Байкальская
146;Байко;Байконурская
147;Бакун;Бакунина
148;Балти;Балтийская/ий
149;Банко;Банковский
150;Барма;Бармалеева
151;Бароч;Барочная
152;Барри;Баррикадная
153;Баско;Басков
154;Бассе;Бассейная
155;Батай;Батайский
156;Бегов;Беговая
157;Безым;Безымянная/ый
158;Белгр;Белградская
159;Белин;Белинского
160;Белоз;Белозерки
161;Белом;Беломорская
162;Белоо;Белоостровская/ое
163;Белор;Белорусская
164;Белоу;Белоусова
165;Белыш;Белышева
166;Бере1;Березовая 1-ая
167;Берег;Береговая/ой
168;Берез;Березовая/ый
169;Берин;Беринга
170;Бесту;Бестужевская
171;Бехте;Бехтерева
172;Бирже;Биржевая/ой
173;БлагВ;Благоева
174;Благо;Благодатная
175;Блохи;Блохина
176;Бобру;Бобруйская
177;Бобыл;Бобыльская
178;Богай;Богайчука
179;Богат;Богатырский
180;Богум;Богумиловская
181;Бойцо;Бойцова
182;Бокси;Бокситогорская
183;Болот;Болотная/ый
184;БольВ;Большевиков
185;БольК;Большевистская
186;Больш;Большая/ой
187;Борис;Борисова
188;БороК;Бородинская
189;1Прое;Проезда 1-го
190;25Окт;25 Октября
191;41;41-й
192;64;64-й
193;Акаде;Академиков
194;АлекР;Александрия
195;Аптеч;Аптечная
196;Бабан;Бабанова
197;БольГ;Больничная Горка
198;Бугро;Бугровая
199;Буден;Буденного
200;ВВоль;Высоковольтная
201;Валие;Валиева
202;Васил;Васильева
203;Волни;Волнистая
204;Вольн;Вольновская
205;Гартн;Гартнеровский
206;Грибо;Грибоедова
207;Громы;Громыхалова
208;Даль7;Дальняя 7-я
209;Дача;Дача
210;Дачн1;Дачная 1-я
211;Дачн2;Дачная 2-я
212;Дорож;Дорожная
213;Дубин;Дубинский
214;Елова;Еловая
215;ЖБу22;Железнодор. Будка, 22 км
216;ЖБу24;Железнодор. Будка, 24 км
217;ЖБу25;Железнодор. Будка, 25 км
218;ЖБудк;Железнодорожная Будка
219;ЖКа31;Железнодор.казарма, 31 км
220;Зеле2;2-я Зеленая
221;КЛах1;1-я Конная Лахта
222;КЛах3;3-я Конная Лахта
223;Каз13;Казарма 13
224;Каз14;Казарма 14
225;Каз16;Казарма 16
226;Каз17;Казарма 17
227;Каз18;Казарма 18
228;Каз21;Казарма 21
229;КамКа;Каменка
230;Князе;Князево
231;Колод;Колодезная
232;КоннЛ;Конно-Лахтинский
233;Краси;Красина
234;Кривц;Кривцова
235;КропК;Кропоткинская
236;Кудри;Кудринская
237;Куро1;Курортный 1-й
238;Лейте;Лейтенантов
239;Лобач;Лобачека
240;ЛуизК;Луизинская
241;Минин;Минина
242;Монас;Монастырская
243;Мосто;Мостовая
244;Музык;Музыкальная
245;НВест;Нововестенская
246;НЗаво;Новые Заводы
247;НКоло;Нижняя Колония
248;ННарв;Новонарвская/ий/ое
249;НикВа;Николаева
250;Нова1;Новая 1-я
251;Нова2;Новая 2-я
252;НоваК;Новаторская/ий
253;ОКоше;Олега Кошевого
254;Огоро;Огородникова
255;ОльгК;Ольгинское
256;Орехо;Ореховая
257;Отдых;Отдыха
258;ПКуль;Пролеткульта
259;ПОсип;Полины Осипенко
260;ППасе;Политрука Пасечника
261;ППобе;Пролетарской Победы
262;Пензе;Пензенский
263;Плеха;Плеханова
264;Боров;Боровая/ой
265;Бород;Бородачева
266;Ботан;Ботаническая
267;Ботки;Боткинская
268;БратК;Братская
269;Братс;Братства
270;Брест;Брестский
271;Бринь;Бринько
272;Бродс;Бродского
273;БронЦ;Бронницкая
274;Броне;Бронетанковая
275;Бронн;Бронная
276;Брюсо;Брюсовская
277;Брянц;Брянцева
278;Бугск;Бугский
279;Будап;Будапештская
280;Бумаж;Бумажная/ый
281;Бурен;Буренина
282;Бурце;Бурцева
283;Бутле;Бутлерова
284;Бухар;Бухарестская
285;ВАлек;Васи Алексеева
286;ВВишн;Всеволода Вишневского
287;ВГ2;Военный городок 2
288;ВГ3;Военный городок 3
289;ВГоро;Военный Городок
290;ВДРыб;В Деревню Рыбацкое
291;ВДонс;Волго-Донская/ой
292;ВДуби;Володи Дубинина
293;ВЕрма;Володи Ермака
294;ВМГ1;ВМГ 1-й квартал
295;ВМГ10;ВМГ 10-й квартал
296;ВМГ11;ВМГ 11-й квартал
297;ВМГ12;ВМГ 12-й квартал
298;ВМГ13;ВМГ 13-й квартал
299;ВМГ14;ВМГ 14-й квартал
300;ВМГ15;ВМГ 15-й квартал
301;ВМГ16;ВМГ 16-й квартал
302;ВМГ2;ВМГ 2-й квартал
303;ВМГ4;ВМГ 4-й квартал
304;ВМГ5;ВМГ 5-й квартал
305;ВМГ6;ВМГ 6-й квартал
306;ВМГ7;ВМГ 7-й квартал
307;ВМГ8;ВМГ 8-й квартал
308;ВМГ9;ВМГ 9-й квартал
309;ВПадн;Водопадная
310;ВПесс;Вилли Песси
311;ВПорт;Военный Порт
312;ВПров;Водопроводная
313;ВСлуц;Веры Слуцкой
314;ВСорт;Витебская Сортировочная
315;ВЧ15;в/ч 15
316;ВЧ3;в/ч 3 Красногв.р-на
317;ВавиХ;Вавиловых
318;Вавил;Вавилова
319;Вакул;Вакуленчука
320;Варва;Варваринская
321;Варша;Варшавская
322;Васен;Васенко
323;ВасиВ;Васильковая
324;ВасиК;Васильковская
325;Ватут;Ватутина
326;Введе;Введенская
327;Веден;Веденеева
328;Велещ;Велещинского
329;Вербн;Вербная
330;Верей;Верейская
331;Верещ;Верещагина
332;Верно;Верности
333;Верто;Вертолетная
